Modifier_ID	Modifier_Kind	Name	Loot_Type	Text_Template	Details	Component_Type	Min_Qty	Max_Qty	Flat_Value_CP	Active	Source_Row
modifier:variant:annotated-book	variant	Annotated Book	object	Annotated {item} on {detail}	goblin patrol routes|old trade roads|temple politics|herbal remedies|shipwreck locations|noble scandals|local monster lairs|forgotten tunnels|buried shrines|battle tactics		0.0	0.0	500.0	1	11.0
modifier:variant:illuminated-book	variant	Illuminated Book	object	Illuminated {item}			0.0	0.0	2500.0	1	12.0
modifier:variant:sealed-document	variant	Sealed Document	object	Sealed {item}			0.0	0.0	500.0	1	13.0
modifier:variant:textile-material	variant	Textile Material	object	{detail} {item}	Silk|Woolen|Linen|Fur-lined|Velvet|Dyed cotton|Brocade|Fine leather		0.0	0.0	1000.0	1	14.0
modifier:variant:travel-stained	variant	Travel-stained	object	Travel-stained {item}			0.0	0.0	0.0	1	15.0
modifier:variant:noble-crest	variant	Noble crest	object	Noble-crested {item}			0.0	0.0	1500.0	1	16.0
modifier:variant:compact	variant	Compact	object	Compact {item}			0.0	0.0	500.0	1	17.0
modifier:variant:collapsible	variant	Collapsible	object	Collapsible {item}			0.0	0.0	1000.0	1	18.0
modifier:variant:matched-set	variant	Matched set	object	Matched set of {item}			0.0	0.0	2500.0	1	19.0
modifier:variant:intricately-carved	variant	Intricately carved	object	Intricately carved {item}			0.0	0.0	2500.0	1	20.0
modifier:variant:coded-markings	variant	Coded markings	object	{item} with coded markings			0.0	0.0	1000.0	1	21.0
modifier:variant:consecrated	variant	Consecrated	object	Consecrated {item}			0.0	0.0	1500.0	1	22.0
modifier:variant:sealed-material	variant	Sealed Material	material	Sealed {item}			0.0	0.0	100.0	1	23.0
modifier:variant:wax-sealed-material	variant	Wax-sealed Material	material	Wax-sealed {item}			0.0	0.0	200.0	1	24.0
modifier:variant:aged-material	variant	Aged Material	material	Aged {item}			0.0	0.0	500.0	1	25.0
modifier:variant:dyed-material	variant	Dyed Material	material	Dyed {item}			0.0	0.0	500.0	1	26.0
modifier:variant:refined-material	variant	Refined Material	material	Refined {item}			0.0	0.0	1000.0	1	27.0
modifier:variant:unworked-material	variant	Unworked Material	material	Unworked {item}			0.0	0.0	0.0	1	28.0
modifier:variant:polished-gem	variant	Polished Gem	material	Polished {item}			0.0	0.0	500.0	1	29.0
modifier:variant:faceted-gem	variant	Faceted Gem	material	Faceted {item}			0.0	0.0	1000.0	1	30.0
modifier:variant:perfumed-material	variant	Perfumed Material	material	Faintly perfumed {item}			0.0	0.0	200.0	1	31.0
modifier:variant:spoiled-material	variant	Spoiled Material	material	Spoiled {item}			0.0	0.0	0.0	1	32.0
modifier:variant:well-trained-livestock	variant	Well-trained Livestock	livestock	Well-trained {item}			0.0	0.0	1000.0	1	33.0
modifier:variant:scarred-livestock	variant	Scarred Livestock	livestock	Scarred {item}			0.0	0.0	0.0	1	34.0
modifier:variant:branded-livestock	variant	Branded Livestock	livestock	Branded {item}			0.0	0.0	0.0	1	35.0
modifier:variant:skittish-livestock	variant	Skittish Livestock	livestock	Skittish {item}			0.0	0.0	0.0	1	36.0
modifier:variant:sure-footed-livestock	variant	Sure-footed Livestock	livestock	Sure-footed {item}			0.0	0.0	500.0	1	37.0
modifier:variant:weathered-vehicle	variant	Weathered Vehicle	vehicle	Weathered {item}			0.0	0.0	0.0	1	38.0
modifier:variant:painted-vehicle	variant	Painted Vehicle	vehicle	Painted {item}			0.0	0.0	2000.0	1	39.0
modifier:variant:military-vehicle	variant	Military Vehicle	vehicle	Military-issue {item}			0.0	0.0	5000.0	1	40.0
modifier:variant:merchant-vehicle	variant	Merchant Vehicle	vehicle	Merchant's {item}			0.0	0.0	1000.0	1	41.0
modifier:variant:river-worn-vehicle	variant	River-worn Vehicle	vehicle	River-worn {item}			0.0	0.0	0.0	1	42.0
